Sr. No.,HMR,Remarks,
1,99051,drag_chain_slip,
2,99526,drag_chain_slip,
3,100123.5,drag_rope,
4,100141,drag_rope,
5,100183,drag_rope,
6,100243,drag_rope,
7,100258.5,drag_rope,
8,101365,drag_rope,
9,101380,drag_rope,
10,101397,drag_rope,
11,101437,drag_rope,
12,101680,drag_rope,
13,101753,drag_rope,
14,102036,drag_rope,
15,102428,drag_rope,
16,102471,drag_rope,
17,102985,drag_rope,
18,103045,drag_rope,
19,103223,drag_rope,
20,103416,drag_rope,
21,103668,drag_rope,
22,103827,drag_rope,
23,104090,drag_rope,
24,104111.5,drag_rope,
25,104879.5,drag_rope,
26,105466,drag_rope,
27,105592,drag_rope,
28,106581,drag_rope,
29,107589.5,drag_rope,
30,107977.5,drag_rope,
31,108433,drag_rope,
32,108568,drag_rope,
33,110171,drag_rope,
34,110265,drag_rope,
35,110342,drag_rope,
36,110357.5,drag_rope,
37,110471,drag_rope,
38,110513.5,drag_rope,
39,111146,drag_rope,
40,111343.5,drag_rope,
41,111481.5,drag_rope,
42,111616,drag_rope,
43,113242,drag_rope,
44,113261,drag_rope,
45,113317,drag_rope,
46,113700,drag_rope,
47,113717.5,drag_rope,
48,113752,drag_rope,
49,114024,drag_rope,
50,114412,drag_rope,
51,114749.5,drag_rope,
52,114887,drag_rope,
53,115144,drag_rope,
54,115517.5,drag_rope,
55,115537.5,drag_chain_slip,
56,115943,drag_chain_slip,
57,116291,drag_chain_slip,
58,116655.5,drag_chain_slip,
59,116734,drag_chain_slip,
60,116874,drag_chain_slip,
61,116971,drag_chain_slip,
62,116986.5,drag_chain_slip,
63,118158,drag_chain_slip,
64,119399,drag_chain_slip,
65,120562.5,drag_chain_slip,
66,121137.5,drag_chain_slip,
67,121523,drag_chain_slip,
68,121656.5,drag_chain_slip,
69,121945,drag_chain_slip,
70,122078,drag_chain_slip,
71,122156.5,drag_chain_slip,
72,122349,drag_chain_slip,
73,122366.5,drag_chain_slip,
74,122374,drag_chain_slip,
75,122389.5,drag_chain_slip,
76,122446.5,drag_chain_slip,
77,122667,drag_chain_slip,
78,122708,drag_chain_slip,
79,123069.5,drag_chain_slip,
80,124052.5,drag_chain_slip,
81,124073.5,drag_chain_slip,
82,124191.5,drag_chain_slip,
83,124314.5,drag_chain_slip,
84,124328.5,drag_chain_slip,
