Sr. No.,HMR,Remarks
1,103678.5,hoist_drum
2,105157.5,hoist_drum
3,110937,hoist_drum
4,111304,hoist_drum
5,111862,hoist_problem
6,112841,hoist_drum
7,113139,hoist_drum
8,113467.5,hoist_rope_broken
9,114510,hoist_rope_broken
10,115092,hoist_rope_broken
11,121540,hoist_rope_broken
12,127351,hoist_rope_broken
13,127797.5,hoist_rope_broken
14,129067,hoist_rope_broken
15,129829.5,hoist_rope_broken
16,130834,hoist_rope_broken
17,130850,hoist_rope_broken
18,132413.5,hoist_rope_broken
19,134832,hoist_rope_broken
20,138051,hoist_rope_broken
21,138453,hoist_problem
22,138471,hoist_problem
23,138540.5,hoist_problem
24,139345.5,hoist_problem
25,139643,hoist_problem
26,139729,hoist_tripping
27,139744,hoist_tripping
28,139752.5,hoist_tripping
29,140404.5,hoist_tripping
30,140852,hoist_tripping
31,140918.5,hoist_tripping
32,141234.5,hoist_tripping
33,141618,hoist_tripping
34,141747,hoist_tripping
35,141873.5,hoist_tripping
36,142431.5,hoist_tripping
37,142625.5,hoist_tripping
38,144938.5,hoist_tripping
39,145081,hoist_tripping
40,145139.5,hoist_tripping
41,146554.5,hoist_tripping
42,148620,hoist_tripping
43,153805,hoist_tripping
44,154187,hoist_tripping
45,155214,hoist_tripping
46,155268,hoist_tripping
47,155636,hoist_chain
48,155975,hoist_chain
49,156067,hoist_chain
50,158368,hoist_chain
51,158601.5,hoist_chain
52,158846,hoist_chain
53,159906,hoist_chain
54,162056,hoist_chain
55,164068.5,hoist_chain
56,164512.5,hoist_chain
57,164549,hoist_chain
58,165779,hoist_chain
59,166498,hoist_chain
60,172186,hoist_chain
61,173685.5,hoist_chain
62,174230,hoist_chain
63,174545.5,hoist_chain
