Sr. No.,HMR,Remarks
1,98678.5,drum_rope_broke
2,98731,drum_rope_broke
3,99039.5,drum_rope_broke
4,99703,drum_rope_broke
5,99923.5,drum_rope_broke
6,100408.5,drum_rope_broke
7,100526.5,drum_rope_broke
8,100822.5,drum_rope_broke
9,100857,drum_rope_broke
10,101350,drum_rope_broke
11,101562.5,drum_rope_broke
12,101918.5,drum_rope_broke
13,101978,drum_rope_broke
14,102221,drum_rope_broke
15,102749.5,drum_rope_broke
16,102812,drum_rope_broke
17,103471,drum_rope_broke
18,103884,drum_rope_broke
19,104229,drum_rope_broke
20,104957.5,drum_rope_broke
21,105033,drum_rope_broke
22,106902,drum_rope_broke
23,106920,drum_rope_broke
24,107200.5,drum_rope_broke
25,107446,drum_rope_broke
26,107629,drum_rope_broke
27,107688,drum_rope_broke
28,107688,drum_rope_broke
29,108059,drum_rope_broke
30,108444.5,drum_rope_broke
31,108715.5,drum_rope_broke
32,110459.5,drum_rope_broke
33,110774,drum_rope_broke
34,111223,drum_rope_broke
35,111500,drum_rope_broke
36,112127,drum_rope_broke
37,112148,drum_rope_broke
38,112523,drum_rope_broke
39,112749,drum_rope_broke
40,112789,drum_rope_broke
41,113053.5,drum_rope_broke
42,113297,drum_rope_broke
43,113358.5,drum_rope_broke
44,113379.5,drum_rope_broke
45,113394,drum_rope_broke
46,113873,drum_rope_broke
47,113934.5,drum_rope_broke
48,113950.5,drum_rope_broke
49,115036,drum_rope_broke
50,115630.5,drum_rope_broke
51,115647,drum_rope_broke
52,115742.5,drum_rope_broke
53,115902.5,drum_rope_broke
54,116021.5,drum_rope_broke
55,116120.5,drum_rope_broke
56,116215.5,drum_rope_broke
57,116235,drum_rope_broke
58,116252.5,drum_rope_broke
59,116273.5,drum_rope_broke
60,116522.5,drum_rope_broke
61,116655.5,drum_rope_broke
62,116734,drum_rope_broke
63,117125.5,drum_rope_broke
64,117322,dump_socket_pinout
65,117394,dump_socket_pinout
66,117569,dump_socket_pinout
67,117935,dump_socket_pinout
68,117954,dump_socket_pinout
69,118120,dump_socket_pinout
70,118149,dump_socket_pinout
71,118176,dump_socket_pinout
72,118846,dump_socket_pinout
73,119021.5,dump_socket_pinout
74,119187,dump_socket_pinout
75,119676.5,dump_socket_pinout
76,119753.5,dump_socket_pinout
77,120372,dump_socket_pinout
78,120490,dump_socket_pinout
79,120506,dump_socket_pinout
80,120523,dump_socket_pinout
81,120950,dump_socket_pinout
82,121106,dump_socket_pinout
83,121469,dump_socket_pinout
84,1221507,dump_socket_pinout
85,121523,dump_socket_pinout
86,121965,dump_socket_pinout
87,122487,dump_socket_pinout
88,123129,dump_socket_pinout
89,123348.5,dump_socket_pinout
90,123609,dump_socket_pinout
91,124568.5,dump_socket_pinout
92,125165.5,dump_socket_pinout
93,125697,dump_socket_pinout
94,125895,dump_socket_pinout
95,125915.5,dump_socket_pinout
96,125992,dump_socket_pinout
97,126284,dump_socket_pinout
98,126344,dump_socket_pinout
99,126573.5,dump_socket_pinout
100,126690,dump_socket_pinout
101,1267710,dump_socket_pinout
102,126908,dump_socket_pinout
103,127164,dump_socket_pinout
104,127351,dump_socket_pinout
105,128044,dump_socket_pinout
106,128405.5,dump_socket_pinout
107,128519,dump_socket_pinout
108,128615.5,dump_socket_pinout
109,128795,dump_socket_pinout
110,129027,dump_socket_pinout
111,129110,dump_socket_pinout
112,129149.5,dump_socket_pinout
113,129454.5,dump_socket_pinout
114,130257,dump_socket_pinout
115,130373,dump_socket_pinout
116,130531,dump_socket_pinout
117,131126,dump_socket_pinout
118,131246,dump_socket_pinout
119,132212,dump_socket_pinout
120,132230,dump_socket_pinout
121,132312,dump_socket_pinout
122,132641,dump_socket_pinout
123,133208,dump_socket_pinout
124,133592.5,dump_socket_pinout
125,134409.5,dump_socket_pinout
126,134472.5,dump_socket_pinout
127,134494,dump_socket_pinout
128,134875.5,dump_socket_pinout
129,134890,dump_socket_pinout
130,135281,dump_socket_pinout
131,135832,dump_socket_pinout
132,135907,dump_socket_pinout
133,136549.5,dump_socket_pinout
134,136766,dump_socket_pinout
135,137237.5,dump_socket_pinout
136,137426,dump_socket_pinout
137,138088.5,dump_socket_pinout
138,138250,dump_socket_pinout
139,138558,dump_socket_pinout
140,138896,dump_socket_pinout
141,139102,drum_pulley_pinout
142,139345.5,drum_pulley_pinout
143,139670,drum_pulley_pinout
144,139845,drum_pulley_pinout
145,140404.5,drum_pulley_pinout
146,140417.5,drum_pulley_pinout
147,140475.5,drum_pulley_pinout
148,140811,drum_pulley_pinout
149,140990.5,drum_pulley_pinout
150,141552,drum_pulley_pinout
151,141618,drum_pulley_pinout
152,141783,drum_pulley_pinout
153,142008,drum_pulley_pinout
154,142587,drum_pulley_pinout
155,142970.5,drum_pulley_pinout
156,143183.5,drum_pulley_pinout
157,143447,drum_pulley_pinout
158,143744,drum_pulley_pinout
159,143823,drum_pulley_pinout
160,143927,drum_pulley_pinout
161,144582.5,drum_pulley_pinout
162,144686,drum_pulley_pinout
163,144958.5,drum_pulley_pinout
164,145098,drum_pulley_pinout
165,145722.5,drum_pulley_pinout
166,145938,drum_pulley_pinout
167,146466,drum_pulley_pinout
168,146925,drum_pulley_pinout
169,147063,drum_pulley_pinout
170,147338,drum_pulley_pinout
171,147357.5,drum_pulley_pinout
172,147390.5,drum_pulley_pinout
173,147916,drum_pulley_pinout
174,148094.5,drum_pulley_pinout
175,148286.5,drum_pulley_pinout
176,148827,drum_pulley_pinout
177,148844,drum_pulley_pinout
178,149251.5,drum_pulley_pinout
179,149443.5,drum_pulley_pinout
180,149734.5,drum_pulley_pinout
181,149748,drum_pulley_pinout
182,150407,drum_pulley_pinout
183,150662,drum_pulley_pinout
184,150959,drum_pulley_pinout
185,152245,drum_pulley_pinout
186,152299.5,drum_pulley_pinout
187,152358.5,drum_pulley_pinout
188,152628,drum_pulley_pinout
189,152729,drum_pulley_pinout
190,152881.5,drum_pulley_pinout
