,Rigging ,,Dragging system,,HOIST,
Sr. No.,HMR,Remarks,HMR,Remarks,HMR,Remarks
1,98678.5,Dump rope broken,99051,Drag rope cut from drum,103678.5,hoist brake not working
2,98731,Dump rope broken(New dump rope fitted),99526,Drag chain line broken,105157.5,hoist shakle pin  out
3,99039.5,Dump rope broken,100123.5,Drag rope broken,110937,"hoist rope,hoist brake jam"
4,99703,"Dump rope ,Dump socket pin",100141,drag rope broken,111304,hoist chain link broken
5,99923.5,Dump rope broken,100183,drag chain line broken,111862,hoist chain link broken
6,100408.5,Dump rope slip,100243,drag chain line broken,112841,hoist drum
7,100526.5,Dump rope broken,100258.5,Drag chain line,113139,hoist brake engaged
8,100822.5,Dump rope broken,101365,drag rope broken,113467.5,hoist rope broken
9,100857,Pulley failed,101380,"drag rope broken,drag link broken",114510,hoist chain link broken
10,101350,Dump pin out,101397,drag rope broken,115092,hoist tension link broken
11,101562.5,Dump rope broken,101437,drag link broken,121540,hoist rope fall down
12,101918.5,Dump socket pin out,101680,drag chain link broken,127351,hoist rope cut from drum
13,101978,Dump rope broken,101753,drag socket pin out,127797.5,hoist not taking load
14,102221,Dump rope broken,102036,drag link broken,129067,hoist motor problem
15,102749.5,Dump rope broken,102428,drag rope broken,129829.5,hoist upper and lower chain twisted
16,102812,Dump rope broken,102471,drag chain socket pin out,130834,hoist gear bolt broken
17,103471,Dump rope broken,102985,drag chain broken,130850,hoist  gear bolt broken
18,103884,Dump socket pin out,103045,Drag chain line broken,132413.5,hoist rope broken
19,104229,Dump rope broken,103223,drag socket broken,134832,hoist not taking load
20,104957.5,Dump rope broken,103416,drag chain socket broken,138051,hoist problem
20,105033,Dump rope broken,103668,drag rope broken,138453,hoist out from drum
21,106902,Dump rope broken,103827,drag rope broken,138471,hoist not working prperly
22,106920,Dump rope broken,104090,drag rope,138540.5,hoist not working  
23,107200.5,Dump rope broken,104111.5,drag rope out from pulley,139345.5,hoist not working
24,107446,dump chain line broken,104879.5,drag rope broken,139643,hoist brake jam
25,107629,Dump rope broken,105466,drag walk magnetic case broken,139729,hoist tripping
26,107688,Dump rope broken,105592,drag bucket,139744,hoist tripping
27,107688,Dump rope broken,106581,drag chain shackle broken,139752.5,hoist tripping
28,108059,Dump rope broken,107589.5,drag rope broken,140404.5,hoist not working
29,108444.5,Dump rope broken,107977.5,"drag chain line broken,drag rope",140852,hoist not working
30,108715.5,Dump rope broken,108433,drag chain link broken,140918.5,hoist jam
31,110459.5,Both dump rope broken,108568,drag chain link broken,141234.5,hoist chain pinout
32,110774,Dump rope broken,110171,drag rope broken,141618,hoist broke
33,111223,dump rope broken,110265,drag rope out from pulley,141747,hoist not working
34,111500,Dump rope ,110342,deag rope out of pulley,141873.5,hoist not working
35,112127,Dump link,110357.5,drag rope out from pulley,142431.5,hoist not working
36,112148,Dump rope broken,110471,drag rope broken,142625.5,hoist problem  
37,112523,Dump rope broke,110513.5,drag chain broken,144938.5,hoist oproblem
38,112749,Dump rope broke,111146,drag chain link broken,145081,hoist chain changes
39,112789,Dump rope broke,111343.5,drag chain link broken,145139.5,hoist not working
40,113053.5,dump rope broke,111481.5,drag chain link broken,146554.5,hoist chain pinout
41,113297,dump rope broken,111616,drag chain link broken,148620,hoist not working
42,113358.5,dump rope broke,113242,drag brake ,153805,hoist brake not working
43,113379.5,dump rope broke,113261,drag link broken,154187,hoist lower chain pin out
44,113394,dump rope broke,113317,drag motor blower connecter broken,155214,hoist chain pin out
45,113873,dump rope broke,113700,drag motor abnormal sound,155268,hoist chain end lock broken
46,113934.5,dump socket pin out,113717.5,drag tp fallen,155636,hoist not working
47,113950.5,dump rope broken,113752,drag link broken,155975,hoist chain pin out
48,115036,dump rope broken,114024,drag system not working,156067,hoist switch not working
49,115630.5,dump rope broken,114412,drag brake problem,158368,hoist brake not working
50,115647,dump pulley jam,114749.5,drag brake assembly ball broken,158601.5,hoist limit switch not working
51,115742.5,dump rope broken,114887,drag engine sound abnormal,158846,hoist system not working
52,115902.5,dump socket pin out,115144,drag chain stuck,159906,hoist brake not worked
53,116021.5,dump rope broken,115517.5,drag chain broken,162056,hoist chain lock broken
54,116120.5,dump socket wedge fallan,115537.5,drag chain broken,164068.5,hoist chain pin out
55,116215.5,dump rope broken,115943,drag bake assembly bolts broken,164512.5,hoist chain link broken
56,116235,dump rope slip,116291,drag chain link broken,164549,hoist problem
57,116252.5,dump rope broken,116655.5,drag chain struck,165779,hoist chain
58,116273.5,dump rope broken,116734,drag chain link broken,166498,hoist brake
59,116522.5,dump rope broken,116874,drag rope slip,172186,hoist rope broken
60,116655.5,dump rope out of dump socket,116971,drag chain link broken,173685.5,hoist system   
61,116734,dump rope slip,116986.5,drag chain pin out,174230,hoist chain out
62,117125.5,dump rope broken,118158,drag pump out,174545.5,hoist proper not working
63,117322,dump socket pinout,119399,drag chain broken,,
64,117394,"dump socketb pin out,dump rope broken",120562.5,drag system not working,,
65,117569,dump socket pin broken,121137.5,drag chain link broken,,
66,117935,"dump rope broken,dump pin out",121523,drag rope broken,,
67,117954,dump socket pin out,121656.5,drag chain broken,,
68,118120,dump socket pin out,121945,drag chain broken,,
69,118149,dump socket pin out,122078,drag chain link broken,,
70,118176,dump socket pin out,122156.5,drag chain li9nk broken,,
71,118846,dump rope broken,122349,drag chain stuck,,
72,119021.5,dump rope broken,122366.5,drag chain struck,,
73,119187,dump socket out,122374,drag intermediate shaft bearing,,
74,119676.5,"dump socket pin out,dump rope broken",122389.5,drag intermediate shaft bearing,,
75,119753.5,dump rope broken,122446.5,drag chain link broken,,
76,120372,dump rope broken,122667,drag chain link broken,,
77,120490,dump rope broken,122708,drag chain pin locvk broken,,
78,120506,dump rope broken,123069.5,drag socket,,
79,120523,"dump rope broken,pin fallen",124052.5,drag rope broken,,
80,120950,dump rope broken,124073.5,drag rope broken,,
81,121106,dump rope broken,124191.5,drag rope broken,,
82,121469,dump rope broken,124314.5,drag chain broken,,
83,1221507,dump rope socket,124328.5,drag chain,,
84,121523,dump rope broken,124938.5,drag chain link broken,,
85,121965,dump socket pin out,125676,drag socket pin fallan,,
86,122487,dump chain pin lock,126612.5,drag role out from drum,,
87,123129,dump rope broken,126967,drag rope broke,,
88,123348.5,dump rope broken,127146,drag chain socket broken,,
89,123609,dump rope problem,127164,drag chain shackle broken,,
90,124568.5,LHS dump rope broken,127310.5,drag chain broken,,
91,125165.5,dump rope broken,127369.5,drag chain broken,,
92,125697,dump socket pin fallan,127797.5,drag socket broken,,
93,125895,dump rope broken,127976.5,drag chain link broken,,
94,125915.5,dump rope broken,128167,drag chain link broken,,
95,125992,dump rope broken,128795,drag chain ,,
96,126284,dump rope,128892,drag rope,,
97,126344,dump rope broken,129485.5,"drag breake not working,drag rope",,
98,126573.5,dump rope stuck,129540,drag chain link broken,,
99,126690,dump rope slip in socket,129559.5,drag chain,,
100,1267710,dump rope broken,129625,drag chain link broken,,
101,126908,dump rope broken,129859,drag chain link broken,,
102,127164,dump rope broken,131105.5,drag rope broke,,
103,127351,dump rope broken,133282,drag line,,
104,128044,dump rope broken,133410,drag rope broken,,
105,128405.5,dump rope slip,133430,drag rope broken,,
106,128519,dump socket pin out,134576.5,drag rope,,
107,128615.5,dump rope broken,134650.5,drag rope ,,
108,128795,dump rope broken,134856.5,drag rope,,
109,129027,dump rope broken,135655,drag rope cut from pulley,,
110,129110,dump socket pin out,135673,drag rope,,
111,129149.5,dump socket pin out,135825,drag pini gear wheel broken,,
112,129454.5,dump rope broken,136648,drag rope out from guide pulley,,
113,130257,dump rope broken,136667.5,drag brake [problem,,
114,130373,dump rope broken,136973,drag rope out from guide pulley,,
115,130531,dump socket pin out,137148.5,drag chain link broken,,
116,131126,dump socket pin fallen,137364.5,drag socket vpin lock broken,,
117,131246,dump rope broken,137426,drag chain link broken,,
118,132212,dump rope broken,137444,drag chain pion shaft,,
119,132230,dump rope broken,138088.5,drag chain link broken,,
120,132312,dump socket pin fall out,138237,drag rope out from drum,,
121,132641,dump rope broken,138785.5,drag rope out from drum,,
122,133208,dump rope broken,138799.5,"drag rope out from drum,drag rope",,
123,133592.5,both dump rope broken,139527,drag chain link broken,,
124,134409.5,dump rope broken,139606,drag rope out from drum,,
125,134472.5,dump pulley pin out,139959,drag rope broken,,
126,134494,pin out,140543,drag chain broken,,
127,134875.5,dump pulley mounting broken,140772,drag chain link broken,,
128,134890,dump pulley mounting broken,140790,drag chain link broken,,
129,135281,dump rope broken,140938.5,drag pinon bolt lock,,
130,135832,dump rope broken,141055,drag rope broken,,
131,135907,dump rope broken,141061.5,drag rope broke,,
132,136549.5,dump socket pin out,142569,drag rope broken,,
133,136766,both dump rope broken,144157.5,drag rope broke,,
134,137237.5,dump rope broken,144168.5,drag rope out,,
135,137426,dump link pin,144189,drag rope,,
136,138088.5,dump rope broken,144699,drag socket,,
137,138250,dump rope,144770,drag rope broken,,
138,138558,dump socket pin out,145266.5,drag socket,,
139,138896,pulley pin out,145428.5,drag rope out from pulley,,
140,139102,dump rope broken,145462,drag rope brke,,
141,139345.5,dump rope broken,145683.5,drag rope lock from drum,,
142,139670,dump rope broken,146058,drag brake,,
143,139845,dump pulley broken,146238,drag socket pin lock,,
144,140404.5,dump pulley broken,146369,drag rope,,
145,140417.5,dump pulley broken,146645.5,drag chain,,
146,140475.5,dump pulley cable boltbroken,146759,drag chain pin,,
147,140811,dump rope broken,146787.5,drag rope,,
148,140990.5,dump rope broken,146839,drag chain socket,,
149,141552,dump rope broken,146853,drag chain socket,,
150,141618,dump rope broke,146865,drag rope out from pulley,,
151,141783,dump pulley broke,146905,drag rope,,
152,142008,dump rope broke,147185,drag rope,,
153,142587,dump rope broke,147542.5,drag rope out from pulley,,
154,142970.5,dump rope broke,147721,drag chain link broken,,
155,143183.5,dump rope broke,147991.5,drag chain link broken,,
156,143447,dump equiliser pin fallen ,148400,drag chain shackle broken,,
157,143744,dump rope broke,148421,drag chain shackle broken,,
158,143823,dump rope broke,148438,drag socket,,
159,143927,dump rope broke,148476.5,drag chain,,
160,144582.5,dump rope broke,148496.5,drag chain,,
161,144686,dump rope broke,148983,drag rope out from pulley,,
162,144958.5,dump rope broke,149000,drag rope,,
163,145098,dump rope broke,149094,drag chain broken,,
164,145722.5,dump rope broke,149326,drag chain,,
165,145938,dump rope slip socket,149347,drag chain,,
166,146466,both dump rope problem,149366,drag chain,,
167,146925,dump rope broke,150094.5,drag chain and link broken,,
168,147063,dump rope broke,150112.5,drag brake,,
169,147338,dump rope broke,150289,drag rope,,
170,147357.5,dump rope pin failed,150489.5,drag brake,,
171,147390.5,dump rope broke,150500.5,drag chain,,
172,147916,dump socket pin,150707.5,drag brake,,
173,148094.5,dump rope broke,150792,drag chain,,
174,148286.5,dump rope broke,150819,drag rope,,
175,148827,dump rope broke,151238.5,drag rope broken,,
176,148844,dump rope broke,151471,drag rope out of pulley,,
177,149251.5,dump rope broke,151491,drag limit switch not working,,
178,149443.5,dump rope broke,151915,drag socket pin,,
179,149734.5,dump rope broke,152100,drag rope out from pulley,,
180,149748,dump rope broke,152130,drag system not working,,
181,150407,dump rope broke,153177,drag rope out from pulley,,
182,150662,dump rope broke,153399,drag brake not working,,
183,150959,dump rope broke,153644,drag rope out,,
184,152245,dump rope broke,153839,drag rope,,
185,152299.5,dump socket pin out,153893,drag rope out from drum,,
186,152358.5,dump socket pin out,153946,"drag rope pulley,drag chain",,
187,152628,dump rope broke,154030,drag rope out from pulley,,
188,152729,dum  socket,154302.5,drag line shackle broken,,
189,152881.5,dump rope broke,154530.5,drag rope broken,,
190,153547,dump socket cock,154543.5,drag rope,,
191,153822.5,dump rope broke,155496,drag rope from pulley,,
192,153930.5,dump socket pin out,155513.5,drag chain line,,
193,153975.5,dump socket pin out,155546,drag chain,,
194,154010.5,dump rope broke,155563,drag rope,,
195,154139.5,dump rope broke,155614,drag chain link broken,,
196,154200,dump rope broke,155680,drag chain ,,
197,155020,dump rope broke,155724,drag chain ,,
198,155387,dump rope broke,155814,drag chain,,
199,155581,dump rope broke,155877,drag chain pinion brake,,
200,155692,dump rope broke,155889,drag rope,,
201,155942,dump socket pin out,156225,drag socket pin out,,
202,155993.5,both dump rope broke,156290.5,drag rope out from pulley,,
203,156416.5,dump socket pin out,156345.5,drag rope broken,,
204,156430.5,dump rope broke,156543.5,drag walk,,
205,156448,dump socket pin out,156930.5,drag link broken,,
206,156719,dump socket pin out,157004.5,drag chain shackle broken,,
207,157129,dump socket pin out,157194,drag chain link broken,,
